country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,year_of_event,independence_from,year,date_mdy
Philippines,1898-06-12,Sunday,12,Jun,Independence Day (Araw ng Kalayaan or Araw ng Kasarinlan),Jun-12,1898,Spanish Empire,1898,"June 12, 1898"
Poland,11-11-1918,Monday,11,Nov,Independence Day (Święto Niepodległości),Nov-11,1918,Russian Soviet Federative Socialist Republic and German Empire,1918,"November 11, 1918"
Portugal,1640-01-01,Saturday,1,Dec,Restoration of Independence Day,Dec-01,1640,Spanish Empire,1640,"December 1, 1640"
Qatar,1878-12-18,Wednesday,18,Dec,National Day,Dec-18,1878,Ottoman Empire,1878,"December 18, 1878"
Qatar,18-12-1971,Saturday,18,Dec,Independence from Britain,Dec-18,1971,United Kingdom,1971,"December 18, 1971"
Romania,1877-05-09,Wednesday,9,May,State Independence Day of Romania(Ziua Independenței de Stat a României),May-09,1877,Ottoman Empire,1877,"May 9, 1877"
Rwanda,01-07-1962,Sunday,1,Jul,Independence Day,Jul-01,1962,Belgium,1962,"July 1, 1962"
Saint Kitts and Nevis,19-09-1983,Monday,19,Sep,Independence Day,Sep-19,1983,United Kingdom,1983,"September 19, 1983"
Saint Lucia,22-02-1979,Thursday,22,Feb,Independence Day,Feb-22,1979,United Kingdom,1979,"February 22, 1979"
Saint Vincent and the Grenadines,27-10-1979,Saturday,27,Oct,Independence Day,Oct-27,1979,United Kingdom,1979,"October 27, 1979"
Samoa,01-06-1962,Friday,1,Jun,"Unspecified (1962, New Zealand)",Jun-01,1962,New Zealand,1962,"June 1, 1962"
São Tomé and Príncipe,12-07-1975,Saturday,12,Jul,Independence Day,Jul-12,1975,Portugal,1975,"July 12, 1975"
Saudi Arabia,23-09-1932,Friday,23,Sep,National Day,Sep-23,1932,None,1932,"September 23, 1932"
Senegal,04-04-1960,Monday,4,Apr,Independence Day,Apr-04,1960,France,1960,"April 4, 1960"
Serbia,1804-02-15,Wednesday,15,Feb,Statehood Day,Feb-15,1804,Ottoman Empire,1804,"February 15, 1804"
Seychelles,29-06-1976,Tuesday,29,Jun,"Unspecified (1976, United Kingdom)",Jun-29,1976,United Kingdom,1976,"June 29, 1976"
Sierra Leone,27-04-1961,Thursday,27,Apr,Independence Day,Apr-27,1961,United Kingdom,1961,"April 27, 1961"
Singapore,09-08-1965,Monday,9,Aug,National Day,Aug-09,1965,Malaysia,1965,"August 9, 1965"
Slovakia,17-07-1992,Friday,17,Jul,"Unspecified (1992, None)",Jul-17,1992,None,1992,"July 17, 1992"
Slovenia,25-06-1991,Tuesday,25,Jun,Independence and Unity Day,Jun-25,1991,SFR Yugoslavia,1991,"June 25, 1991"
Solomon Islands,07-07-1978,Friday,7,Jul,Independence Day,Jul-07,1978,United Kingdom,1978,"July 7, 1978"
Somalia,01-07-1960,Friday,1,Jul,Independence Day,Jul-01,1960,Italy and United Kingdom,1960,"July 1, 1960"
South Africa,11-12-1931,Friday,11,Dec,Not a holiday,Dec-11,1931,United Kingdom,1931,"December 11, 1931"
South Sudan,09-07-2011,Saturday,9,Jul,Independence Day,Jul-09,2011,Sudan,2011,"July 9, 2011"
Sri Lanka,04-02-1948,Wednesday,4,Feb,Independence Day,Feb-04,1948,United Kingdom,1948,"February 4, 1948"
Sudan,01-01-1956,Sunday,1,Jan,Independence Day,Jan-01,1956,Egypt and the United Kingdom,1956,"January 1, 1956"
Suriname,25-11-1975,Tuesday,25,Nov,Independence Day,Nov-25,1975,Netherlands,1975,"November 25, 1975"
Sweden,1523-01-01,Wednesday,6,Jun,National Day,Jun-06,1523,None,1523,"June 6, 1523"
Switzerland,1291-01-01,Wednesday,1,Aug,Swiss National Day,Aug-01,1291,None,1291,"August 1, 1291"
Syria,17-04-1946,Wednesday,17,Apr,Evacuation Day,Apr-17,1946,France,1946,"April 17, 1946"
Tajikistan,09-09-1991,Monday,9,Sep,Independence Day,Sep-09,1991,Soviet Union,1991,"September 9, 1991"
Tanzania,09-12-1961,Saturday,9,Dec,"Unspecified (1961, United Kingdom)",Dec-09,1961,United Kingdom,1961,"December 9, 1961"
Togo,27-04-1960,Wednesday,27,Apr,"Unspecified (1960, France)",Apr-27,1960,France,1960,"April 27, 1960"
Tonga,04-06-1970,Thursday,4,Jun,"Unspecified (1970, United Kingdom)",Jun-04,1970,United Kingdom,1970,"June 4, 1970"
Trinidad and Tobago,31-08-1962,Friday,31,Aug,Independence Day,Aug-31,1962,United Kingdom,1962,"August 31, 1962"
Tunisia,20-03-1956,Tuesday,20,Mar,Independence Day,Mar-20,1956,France,1956,"March 20, 1956"
Turkmenistan,27-09-1991,Friday,27,Sep,Independence Day,Sep-27,1991,Soviet Union[80],1991,"September 27, 1991"
Tuvalu,01-10-1978,Sunday,1,Oct,Independence Day,Oct-01,1978,United Kingdom,1978,"October 1, 1978"
Uganda,09-10-1962,Tuesday,9,Oct,Independence Day,Oct-09,1962,United Kingdom,1962,"October 9, 1962"
Ukraine,24-08-1991,Saturday,24,Aug,Independence Day,Aug-24,1991,Soviet Union,1991,"August 24, 1991"
Ukraine,22-01-1919,Wednesday,22,Jan,Day of Unity,Jan-22,1919,Russian Soviet Federative Socialist Republic,1919,"January 22, 1919"
United Arab Emirates,02-12-1971,Thursday,2,Dec,National Day,Dec-02,1971,United Kingdom,1971,"December 2, 1971"
United States,1776-07-04,Thursday,4,Jul,Independence Day or Fourth of July,Jul-04,1776,Kingdom of Great Britain,1776,"July 4, 1776"
Uruguay,1825-08-25,Thursday,25,Aug,Independence Day,Aug-25,1825,United Provinces of the Rio de la Plata,1825,"August 25, 1825"
Uzbekistan,01-09-1991,Sunday,1,Sep,Independence Day,Sep-01,1991,Soviet Union,1991,"September 1, 1991"
Vanuatu,30-07-1980,Wednesday,30,Jul,Independence Day,Jul-30,1980,United Kingdom and France,1980,"July 30, 1980"
Venezuela,1811-07-05,Friday,5,Jul,Independence Day,Jul-05,1811,Spanish Empire,1811,"July 5, 1811"
Vietnam,02-09-1945,Sunday,2,Sep,Independence Day,Sep-02,1945,Empire of Japan and France,1945,"September 2, 1945"
Yemen,30-11-1967,Thursday,30,Nov,"Unspecified (1967, United Kingdom)",Nov-30,1967,United Kingdom,1967,"November 30, 1967"
Zambia,24-10-1964,Saturday,24,Oct,Independence Day,Oct-24,1964,United Kingdom,1964,"October 24, 1964"
Zimbabwe,18-04-1980,Friday,18,Apr,Independence Day,Apr-18,1980,United Kingdom,1980,"April 18, 1980"
